Sr. No.,Name of the University,State,CGPA,Grade
134,"NITTE (DEEMED TO BE UNIVERSITY),Sixth Floor, University Enclave, Medical Sciences Complex, Deralakatte,Mangaluru,Karnataka,575018 (Second Cycle)",Karnataka,3.4,A+
135,"RANI CHANNAMMA UNIVERSITY,Rani Channamma University, 
 Vidyasangama, Bhutaramanahatti
 NH - 04, Belagavi-591156,Belagavi,Karnataka,591156 (First Cycle)",Karnataka,2.56,B+
136,"REVA UNIVERSITY,Rukmini Knowlegde Park, Kattigenahalli, Yelahanka,Bengaluru,Karnataka,560064 (First Cycle)",Karnataka,2.58,B+
137,"Sri Devaraj Urs Academy of Higher Education and Research, Kolar (Second Cycle)",Karnataka,2.71,B+
138,"Sri Siddhartha Academy of Higher Education, Tumkur (First Cycle)",Karnataka,3.01,A
139,"Swami Vivekananda Yoga Anusandhana Samsthana (Deemed-to-be-University u/s 3 of the UGC Act 1956), Kempegowda Nagar, Bengaluru  560019 (Second Cycle)",Karnataka,3.58,A+
140,"UNIVERSITY OF MYSORE,University of Mysore, Crawford Hall, Mysuru 570005,Mysuru,Karnataka,570005 (Fourth Cycle)",Karnataka,3.01,A
141,"VIJAYANAGARA SRI KRISHNADEVARAYA UNIVERSITY, Jnana sagara Campus, Vinayaka nagara, cantonment
 Ballari - 583105,Ballari,Karnataka,583105 (Cycle 1)",Karnataka,1.96,C
142,"Yenepoya University, Mangalore (First Cycle)",Karnataka,3.14,A
143,"DAVANGERE UNIVERSITY,
 Shivagangotri,
Davangere,Karnataka,577007 (Second Cycle)",Karnataka,2.59,B+
144,"MANIPAL ACADEMY OF HIGHER EDUCATION (DEEMED-TO-BE-UNIVERSITY U/S 3 OF THE UGC ACT),
 Madhav Nagar
 Manipal,Udupi,Karnataka,576104 (Third Cycle)",Karnataka,3.65,A++
145,"UNIVERSITY OF AGRICULTURAL SCIENCES, LINGASUGUR ROAD, RAICHUR - 584 104, KARNATAKA (First Cycle)",Karnataka,2.55,B+
146,"Central University of Kerala, Kasargod  671316 (First Cycle)",Kerala,2.76,B++
147,"Cochin University of Science and Technology, Cochin  682022 (Second Cycle)",Kerala,3.09,A
148,"KANNUR UNIVERSITY,THAVAKKARA,
CIVIL STATION P.O., KANNUR.
PIN 670002,KANNUR,Kerala,670002 (Second Cycle)",Kerala,2.85,B++
149,"Mahatma Gandhi University, Athirampuzha, Kottayam  686560 (Third Cycle)",Kerala,3.24,A
150,"SREE SANKARACHARYA UNIVERSITY OF SANSKRIT,SREE SANKARACHARYA UNIVERSITY OF SANSKRIT
 KALADY,
 KALADY P.O,
 ERNAKULAM,
 KERALA-683574,ERNAKULAM,Kerala,683574 (Second Cycle)",Kerala,3.37,A+
151,"University of Calicut, Malappuram  673635 (Third Cycle",Kerala,3.13,A
152,"University of Kerala, 
 Senate House Campus, 
 Palayam, 
 Thiruvananthapuram - 695034, Kerala (Third Cycle)",Kerala,3.67,A++
153,"Kannur University, Kannur  670002 (First Cycle)",Kerala,2.19,B
154,"Awadhesh Pratap Singh University, Rewa  486003 (Second Cycle)",Madhya Pradesh,2.37,B
155,"Barkatullah University, Bhopal, 462026 (Second Cycle)",Madhya Pradesh,2.5,B
156,"DEVI AHILYA VISHWAVIDYALAYA,Devi Ahilya Vishwavidyala,
 Nalanda Parisar,
 R N T Marg,Indore,Madhya Pradesh,452001 (Fourth Cycle)",Madhya Pradesh,3.3,A+
157,"Dr. Harisingh Gour Vishwavidyalaya, Sagar, 470003 (Third Cycle)",Madhya Pradesh,3.04,A
158,"Indira Gandhi National Tribal University, Amarkantak  484887 (First Cycle)",Madhya Pradesh,2.8,B
159,"Jaypee University of Engineering and Technology, Guna  473226 (First Cycle)",Madhya Pradesh,3.06,A
160,"Jiwaji University, Gwalior, 474011 (Second Cycle)",Madhya Pradesh,3.06,A
161,"Lakshmibai National Institute of Physical Education (Deemed-to-be-University u/s 3 of UGC Act 1956), Gwalior  474002 (Second Cycle)",Madhya Pradesh,3.79,A++
162,"Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya, Chitrakoot, Satna  485334 (First Cycle",Madhya Pradesh,3.04,A
163,"Rabindranath Tagore University, Village  Mendua, Bhopal-Chiklod Road, Tehsil  Goharganj, Dist.  Raisen, Madhya Pradesh (First Cycle)",Madhya Pradesh,2.33,B
164,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Gandhi Nagar, Bhopal  462033 (First Cycle)",Madhya Pradesh,3.02,A
165,"Rani Durgavati Vishwavidyalaya, Jabalpur, 482001 (Second Cycle)",Madhya Pradesh,2.71,B
166,"Vikram University, Ujjain  456010 (Second Cycle)",Madhya Pradesh,3.03,A
167,"ITM University, Gwalior ,Turari, NH-75, Jhansi Road,Gwalior - 474001 (First Cycle)",Madhya Pradesh,2.31,B
168,"Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Village-Karaundi, Post Office-Mahner, Dheemarkheda,Katni - 483332 (First Cycle)",Madhya Pradesh,1.77,C
169,"People's University,Peoples Campus, Bhanpur,Bhopal - 462037 (First Cycle)",Madhya Pradesh,2.43,B
170,"Bharati Vidyapeeth University (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pune  411030 (Third Cycle) 7 Years Validity",Maharashtra,3.53,A+
171,"D. Y. Patil Education Society (Deemed-to-be-University u/s 3 of the UGC Act 1956), Kolhapur  416006 (Second Cycle)",Maharashtra,3.2,A
172,"Datta Meghe Institute of Medical Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), Wardha  442004 (Third Cycle)
7 Years Validity",Maharashtra,3.53,A+
173,"Deccan College Post-Graduate and Research Institute (Deemed to be University u/s 3 of the UGC Act 1956), Pune, 411006 (Second Cycle)",Maharashtra,3.16,A
174,"Defence Institute of Advanced Technology (Deemed to be University u/s 3 of the UGC Act 1956), Girinagar, Pune, 411025 (First Cycle)",Maharashtra,2.86,B
175,"DR. BABASAHEB AMBEDKAR MARATHWADA UNIVERSITY,Jaisingapura, Near Soneri Mahal,, Aurangabad , 431004 (Third Cycle)",Maharashtra,3.22,A
176,"Dr. Babasaheb AmbedkarTechnologicalUniversity,Raigad Dist, 402103 (First Cycle)",Maharashtra,2.35,B
177,"DR. D. Y. PATIL VIDYAPEETH, PUNE,Dr. D. Y. Patil Vidyapeeth (Deemed to be University),
 Sant Tukaram Nagar, Pimpri, Pune,Pune,Maharashtra,411018 (Third Cycle)",Maharashtra,3.64,A++
178,"Gokhale Institute of Politics and Economics (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pune  411004 (Second Cycle)",Maharashtra,3.07,A
179,"Homi Bhabha National Institute (Deemed to be University u/s 3 of the UGC Act 1956), Mumbai, 400094 (Second Cycle)",Maharashtra,3.4,A+
180,"Institute of Chemical Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Matunga, Mumbai  400019 (First Cycle)",Maharashtra,3.77,A++
181,"INTERNATIONAL INSTITUTE FOR POPULATION SCIENCES,International Institute for Population Sciences (IIPS), Govandi Station Road, Deonar, Mumbai,Mumbai,Maharashtra,400088 (First Cycle)",Maharashtra,3.01,A
182,"KAVIKULAGURU KALIDAS SANSKRIT UNIVERSITY,Administrative Building, Sitalwadi, Mauda road,Ramtek,Maharashtra,441106 (Second Cycle)",Maharashtra,3.42,A+
183,"Krishna Institute of Medical Science, Karad (Second Cycle)",Maharashtra,3.39,A+
184,"Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha, 442005 (First Cycle)",Maharashtra,3.06,A
185,"North Maharashtra University,Jalgaon, 425001 (Third Cycle)",Maharashtra,3.05,A
186,"Pravara Institute of Medical Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), Loni, Rahata, Ahmednagar  413736 (Second Cycle)",Maharashtra,3.17,A
187,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur- Pune National Highway, Kegaon, Solapur,,Solapur,Maharashtra,413255 (Second Cycle)",Maharashtra,2.96,B++
188,"RASHTRASANT TUKADOJI MAHARAJ NAGPUR UNIVERSITY,Rashtrasant Tukadoji Maharaj Nagpur University, 
 Jamnalal Bajaj Administrative Premisis,
 Ambazari Bypass Road,Nagpur,Maharashtra,440033 (Fourth Cycle)",Maharashtra,3.01,A
189,"Sant Gadge Baba Amravati University, Amravati  444602 (Third Cycle)",Maharashtra,3.07,A
190,"Savitribai Phule Pune University, Pune  411007 (Third Cycle)
7 Years Validity",Maharashtra,3.6,A+
191,"SHIVAJI UNIVERSITY,Shivaji University, Kolhapur - 416 004,Kolhapur,Maharashtra,416004 (Fourth Cycle)",Maharashtra,3.52,A++
192,"Shreemati Nathibai Damodar Thackersey Women's University, Mumbai  400020 (Second Cycle)",Maharashtra,3.08,A
193,"SVKM's Narsee Monjee Institute of Management Studies (Deemed-to-be-University u/s 3 of the UGC Act 1956), Vile Parle (W), Mumbai  400056 (Third Cycle)",Maharashtra,3.59,A+
194,"SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY, Dnyanteerth, Vishnupuri,Nanded,Maharashtra,431606 (Fourth Cycle)",Maharashtra,2.96,B++
195,"Symbiosis International University, Pune  412115 (Second Cycle)",Maharashtra,3.58,A
196,"Tata Institute of Fundamental Research (Deemed-to-be-University u/s 3 of the UGC Act 1956), Homi Bhabha Road, Colaba, Mumbai  400005 (First Cycle)",Maharashtra,3.68,A+
197,"Tata Institute of Social Sciences (Deemed-to-be-University u/s 3 of the UGC Act 1956), Mumbai  400088 (Third Cycle)",Maharashtra,3.89,A
198,"UNIVERSITY OF MUMBAI,Mahatma Gandhi Road, University of Mumbai, Fort, Mumbai, 400032,Mumbai,Maharashtra,400032 (Third Cycle)",Maharashtra,3.65,A++
199,"YASHWANTRAO CHAVAN MAHARASHTRA OPEN UNIVERSITY, NASHIK,Dnyangangotri, Near Gangapur Dam, Govardhan, Nashik - 422 222,Nashik,Maharashtra,422222 (First Cycle)",Maharashtra,3.02,A
200,"SPICER ADVENTIST UNIVERSITY, Aundh Road, PUNE,Maharashtra,411067 (First Cycle)",Maharashtra,2.06,B
